,id,description,photo,article,name,price
121,1363164,"Состав: нори, рис, соус Спайси, красный лосось, жаренный кунжут, свежий огурец.
Вес: 270 гр.",https://sun9-56.userapi.com/c840532/v840532146/27008/hDHT69VrrsI.jpg,,Касуми,199.0
122,1363163,"Состав: нори, рис, свежий огурец, болгарский перец, спелый томат.
Вес: 280 гр.",https://sun9-51.userapi.com/c841437/v841437146/399db/q-s9n_oydl4.jpg,,Овощной,150.0
123,1363160,"Состав: нори, рис, свежий огурец, сурими, густой майонез, икра тобико.
Вес: 280 гр.",https://sun9-29.userapi.com/c824601/v824601146/2c439/0hOklQxm05o.jpg,,Калифорния,199.0
124,1310554,"Состав: котлета, огурец соленый, бекон жар., лук жар., капуста пекинская, фри, соус.

☎ Звони: 8 (927) 983-53-56 | 8 (904) 19-(98-97-5) | 8 (904) 19-(9-13-39)
🚗 Заходи: Автостроителей 78\14

⏰ Режим работы:
Будни: с 11:00 до 23:00
Пт и сб: с 11:00 до 00:00",https://sun9-13.userapi.com/c841026/v841026317/3aa01/xlIj9ON46Pc.jpg,,Виски,200.0
125,1310557,"Состав: котлета, сыр пластинка, лук, капуста пекинская, соус.

☎ Звони: 8 (927) 983-53-56 | 8 (904) 19-(98-97-5) | 8 (904) 19-(9-13-39)
🚗 Заходи: Автостроителей 78\14

⏰ Режим работы:
Будни: с 11:00 до 23:00
Пт и сб: с 11:00 до 00:00",https://sun9-48.userapi.com/c841236/v841236317/32ded/-hknfhWF55c.jpg,,Grand DD,180.0
126,1310562,"Состав: огурец соленый, сыр пластинка, котлета, томат, пекинская капуста, соус.

☎ Звони: 8 (927) 983-53-56 | 8 (904) 19-(98-97-5) | 8 (904) 19-(9-13-39)
🚗 Заходи: Автостроителей 78\14

⏰ Режим работы:
Будни: с 11:00 до 23:00
Пт и сб: с 11:00 до 00:00",https://sun9-40.userapi.com/c841635/v841635317/37966/zrXNFNrhFkk.jpg,,Уолл-стрит,180.0
127,1310559,"Состав: котлета, лук, перец болгарский, капуста пекинская, соус.

☎ Звони: 8 (927) 983-53-56 | 8 (904) 19-(98-97-5) | 8 (904) 19-(9-13-39)
🚗 Заходи: Автостроителей 78\14

⏰ Режим работы:
Будни: с 11:00 до 23:00
Пт и сб: с 11:00 до 00:00",https://sun9-9.userapi.com/c841130/v841130317/360f3/YpIUpm0qFD8.jpg,,Студент,160.0
128,1310571,"Состав: лапша, соус терияки, морковь, перец болгарский, зеленый лук, свинина.
Вес: 330 гр.

☎ Звони: 8 (927) 983-53-56 | 8 (904) 19-(98-97-5) | 8 (904) 19-(9-13-39)
🚗 Заходи: Автостроителей 78\14

⏰ Режим работы:
Будни: с 10:00 до 23:00
Пт и сб: с 10:00 до 00:00",https://sun9-65.userapi.com/c840124/v840124317/3ebfd/HG62BbdLhE4.jpg,,Лапша со свининой,190.0
129,1310568,"Состав: лапша, соус терияки, морковь, цукини, перец болгарский, зеленый лук, курица.
Вес: 350 гр.

☎ Звони: 8 (927) 983-53-56 | 8 (904) 19-(98-97-5) | 8 (904) 19-(9-13-39)
🚗 Заходи: Автостроителей 78\14

⏰ Режим работы:
Будни: с 10:00 до 23:00
Пт и сб: с 10:00 до 00:00",https://sun9-10.userapi.com/c840227/v840227317/420b3/cPo6uL6-VPU.jpg,,Лапша с курицей,180.0
130,1310567,"Состав: лапша, соус тереики, морковь, цукини, перец болгарский, зеленый лук.
Вес: 300 гр.

☎ Звони: 8 (927) 983-53-56 | 8 (904) 19-(98-97-5) | 8 (904) 19-(9-13-39)
🚗 Заходи: Автостроителей 78\14

⏰ Режим работы:
Будни: с 10:00 до 23:00
Пт и сб: с 10:00 до 00:00",https://sun9-52.userapi.com/c824503/v824503317/17cbd/GGydwGoUWi0.jpg,,Лапша с овощами,160.0
